"basin_d,C,80","area,N,24,15","res_N,N,24,15","torst_N,N,24,15","crops_N,N,24,15","lvstc_N,N,24,15","country,C,80","admn_bn,C,80"
na_79890,2.429990451110000,0.000000000000000,0.000000000000000,0.000000000000000,12.000000000000000,Mexico,Misc
na_79892,0.607497612776000,0.000000000000000,0.000000000000000,0.000000000000000,12.000000000000000,Mexico,Misc
na_79893,3.037488063890000,0.000000000000000,0.000000000000000,0.000000000000000,144.000000000000000,Mexico,Northern Quintana Roo
na_79909,12.149952255500000,8.973818303346720,0.000000000000000,60.000000000000000,1464.000000000000000,Mexico,Northern Quintana Roo
na_79910,17.009933157700000,0.000000000000000,0.000000000000000,0.000000000000000,876.000000000000000,Mexico,Northern Quintana Roo
na_79914,23.084909285500000,3.028471845388560,0.000000000000000,60.000000000000000,588.000000000000000,Mexico,Lßzaro Cßrdenas
na_79915,2.429990451110000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,Mexico,Isla Mujeres
na_79918,0.607497612777000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,Mexico,Northern Quintana Roo
na_79921,27.337392575000000,0.000000000000000,0.000000000000000,0.000000000000000,744.000000000000000,Mexico,Isla Mujeres
na_79926,12.757449868300000,3.111127130985120,0.000000000000000,60.000000000000000,576.000000000000000,Mexico,Lßzaro Cßrdenas
na_79936,23.084909285500000,0.000000000000000,0.000000000000000,144.000000000000000,2100.000000000000000,Mexico,Isla Mujeres
na_79946,42.524832894400000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,Mexico,Misc
na_79953,51.029799473200000,243.492296848297000,0.000000000000000,0.000000000000000,360.000000000000000,Mexico,Misc
na_79954,1.214995225550000,0.000000000000000,0.000000000000000,24.000000000000000,180.000000000000000,Mexico,Northern Quintana Roo
na_79968,54.674785149900000,23.005382482409400,0.000000000000000,144.000000000000000,948.000000000000000,Mexico,Misc
na_79975,29.159885413300000,1.803941860199040,0.000000000000000,27240.000000000000000,52992.000000000000000,Mexico,Misc
na_79976,23.084909285500000,0.000000000000000,0.000000000000000,144.000000000000000,1356.000000000000000,Mexico,Northern Quintana Roo
na_79977,7.897468966100000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,Mexico,Northern Quintana Roo
na_79993,25.514899736600000,0.248599671833160,0.000000000000000,22332.000000000000000,47772.000000000000000,Mexico,TizimÝn
na_79997,2.429990451110000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,Mexico,Isla Mujeres
na_80005,17.617430770500000,0.000000000000000,0.000000000000000,900.000000000000000,1380.000000000000000,Mexico,Isla Mujeres
na_80015,13.364947481100000,0.000000000000000,0.000000000000000,0.000000000000000,5412.000000000000000,Mexico,Lßzaro Cßrdenas
na_80030,12.149952255500000,0.000000000000000,0.000000000000000,888.000000000000000,1200.000000000000000,Mexico,Northern Quintana Roo
na_80031,1.822492838330000,0.000000000000000,0.000000000000000,504.000000000000000,20148.000000000000000,Mexico,Isla Mujeres
na_80039,85.049665788700000,0.182015197277040,0.000000000000000,8580.000000000000000,18540.000000000000000,Mexico,Misc
na_80043,74.722206371500000,0.000000000000000,0.000000000000000,2316.000000000000000,1380.000000000000000,Mexico,Misc
na_80051,1.214995225550000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,Mexico,Northern Quintana Roo
na_80063,16.402435545000000,0.000000000000000,0.000000000000000,1776.000000000000000,47424.000000000000000,Mexico,Northern Quintana Roo
na_80064,0.607497612777000,16474.357617187500000,0.000000000000000,0.000000000000000,0.000000000000000,Mexico,Northern Quintana Roo
na_80083,85.049665788700000,4022.076662292480000,0.000000000000000,23136.000000000000000,9552.000000000000000,Mexico,Misc
na_80093,15.794937932200000,162.553371734619000,0.000000000000000,900.000000000000000,327024.000000000000000,Mexico,Isla Mujeres
na_80114,17.009933157700000,184753.084350586000000,0.000000000000000,0.000000000000000,296988.000000000000000,Mexico,Northern Quintana Roo
na_80130,362.068577215000000,61.448945481162400,0.000000000000000,16032.000000000000000,29592.000000000000000,Mexico,Misc
na_80131,347.488634508000000,4088.077954101560000,0.000000000000000,32604.000000000000000,103188.000000000000000,Mexico,Misc
na_80140,749.044556554000000,326.367511427673000,0.000000000000000,2916.000000000000000,32712.000000000000000,Mexico,Misc
na_80143,89.302149078200000,462508.351001032000000,3860.371962890630000,0.000000000000000,222552.000000000000000,Mexico,Northern Quintana Roo
na_80167,133.041977198000000,62906.438933685400000,0.000000000000000,60.000000000000000,6132.000000000000000,Mexico,Benito Jußrez
na_80173,362.676074828000000,1404.708486328120000,0.000000000000000,20484.000000000000000,13308.000000000000000,Mexico,Lßzaro Cßrdenas
na_80179,597.170153359000000,23216.301604823600000,0.000000000000000,144588.000000000000000,56460.000000000000000,Mexico,TizimÝn
na_80180,263.653963945000000,880713.534429932000000,0.000000000000000,384.000000000000000,395184.000000000000000,Mexico,Isla Mujeres
na_80196,27.944890187700000,47.387998130992200,0.000000000000000,1224.000000000000000,22740.000000000000000,Mexico,Benito Jußrez
na_80225,49.814804247700000,14459.702720375100000,586.983369140625000,1056.000000000000000,4608.000000000000000,Mexico,Puerto Morelos
na_80227,383.330993662000000,98.976225285529900,0.000000000000000,432.000000000000000,19980.000000000000000,Mexico,Puerto Morelos
na_80233,12.757449868300000,0.000000000000000,0.000000000000000,312.000000000000000,12960.000000000000000,Mexico,Puerto Morelos
na_80237,116.032044040000000,11.961837158203100,0.000000000000000,0.000000000000000,6624.000000000000000,Mexico,Cozumel
na_80253,16.402435545000000,10.756188454628200,0.000000000000000,0.000000000000000,5928.000000000000000,Mexico,Cozumel
na_80256,201.689207442000000,124.081358642578000,0.000000000000000,0.000000000000000,4680.000000000000000,Mexico,Cozumel
na_80262,24.299904511100000,0.000000000000000,0.000000000000000,0.000000000000000,20472.000000000000000,Mexico,Cozumel
na_80267,1117.795607510000000,17822.311780527400000,0.000000000000000,19572.000000000000000,27648.000000000000000,Mexico,Misc
