"name,C,80","type,C,80","FID_EEZ_MA,N,9,0","OBJECTID,N,9,0","Country,C,80","CATEGORY,C,80","SOURCE,C,80","SOURCETHM,C,80","Area_km2,N,24,15"
Guatemala,coastal_subregion,3,157,Guatemala,Reef,Millennium Coral Reef Mapping Project,mar_reef_base.db,9.273669640590000
Guatemala,coastal_subregion,3,157,Guatemala,Reef,Millennium Coral Reef Mapping Project,mar_reef_base.db,9.444606403300000
Guatemala,coastal_subregion,3,157,Guatemala,Reef,Millennium Coral Reef Mapping Project,mar_reef_base.db,0.485207364074000
Guatemala,coastal_subregion,3,157,Guatemala,Reef,Millennium Coral Reef Mapping Project,mar_reef_base.db,0.391610257081000
Guatemala,coastal_subregion,3,157,Guatemala,Reef,Millennium Coral Reef Mapping Project,mar_reef_base.db,42.301652506400000
Southern Barrier Complex,coastal_subregion,3,157,Belize,Reef,Millennium Coral Reef Mapping Project,mar_reef_base.db,0.289787950121000
Southern Barrier Complex,coastal_subregion,3,157,Belize,Reef,Millennium Coral Reef Mapping Project,mar_reef_base.db,0.918861668120000
Southern Barrier Complex,coastal_subregion,3,157,Belize,Reef,Millennium Coral Reef Mapping Project,mar_reef_base.db,0.303287336708000
Southern Barrier Complex,coastal_subregion,3,157,Belize,Reef,Millennium Coral Reef Mapping Project,mar_reef_base.db,0.117894890312000
Southern Barrier Complex,coastal_subregion,3,157,Belize,Reef,Millennium Coral Reef Mapping Project,mar_reef_base.db,0.181792511190000
Southern Barrier Complex,coastal_subregion,3,157,Belize,Reef,Millennium Coral Reef Mapping Project,mar_reef_base.db,0.080996665735100
Southern Barrier Complex,coastal_subregion,3,157,Belize,Reef,Millennium Coral Reef Mapping Project,mar_reef_base.db,0.061197506777400
Southern Barrier Complex,coastal_subregion,3,157,Belize,Reef,Millennium Coral Reef Mapping Project,mar_reef_base.db,0.112495396003000
Southern Barrier Complex,coastal_subregion,3,157,Belize,Reef,Millennium Coral Reef Mapping Project,mar_reef_base.db,0.224990681230000
Southern Barrier Complex,coastal_subregion,3,157,Belize,Reef,Millennium Coral Reef Mapping Project,mar_reef_base.db,0.308686817172000
Southern Barrier Complex,coastal_subregion,3,157,Belize,Reef,Millennium Coral Reef Mapping Project,mar_reef_base.db,1.153751752270000
Southern Barrier Complex,coastal_subregion,3,157,Belize,Reef,Millennium Coral Reef Mapping Project,mar_reef_base.db,0.107095389346000
Southern Barrier Complex,coastal_subregion,3,157,Belize,Reef,Millennium Coral Reef Mapping Project,mar_reef_base.db,0.269088506183000
Southern Barrier Complex,coastal_subregion,3,157,Belize,Reef,Millennium Coral Reef Mapping Project,mar_reef_base.db,1.007958475400000
Southern Barrier Complex,coastal_subregion,3,157,Belize,Reef,Millennium Coral Reef Mapping Project,mar_reef_base.db,0.272689036825000
Southern Barrier Complex,coastal_subregion,3,157,Belize,Reef,Millennium Coral Reef Mapping Project,mar_reef_base.db,0.103495627231000
Southern Barrier Complex,coastal_subregion,3,157,Belize,Reef,Millennium Coral Reef Mapping Project,mar_reef_base.db,0.202491560488000
Southern Barrier Complex,coastal_subregion,3,157,Belize,Reef,Millennium Coral Reef Mapping Project,mar_reef_base.db,0.035098575458600
Southern Barrier Complex,coastal_subregion,3,157,Belize,Reef,Millennium Coral Reef Mapping Project,mar_reef_base.db,0.121494943214000
Southern Barrier Complex,coastal_subregion,3,157,Belize,Reef,Millennium Coral Reef Mapping Project,mar_reef_base.db,0.035098589310900
Southern Barrier Complex,coastal_subregion,3,157,Belize,Reef,Millennium Coral Reef Mapping Project,mar_reef_base.db,0.031498771807900
Southern Barrier Complex,coastal_subregion,3,157,Belize,Reef,Millennium Coral Reef Mapping Project,mar_reef_base.db,1.887221299410000
Southern Barrier Complex,coastal_subregion,3,157,Belize,Reef,Millennium Coral Reef Mapping Project,mar_reef_base.db,0.207891484049000
Southern Barrier Complex,coastal_subregion,3,157,Belize,Reef,Millennium Coral Reef Mapping Project,mar_reef_base.db,0.054897637487500
Southern Barrier Complex,coastal_subregion,3,157,Belize,Reef,Millennium Coral Reef Mapping Project,mar_reef_base.db,0.022499037663600
Southern Barrier Complex,coastal_subregion,3,157,Belize,Reef,Millennium Coral Reef Mapping Project,mar_reef_base.db,0.026098792849900
Southern Barrier Complex,coastal_subregion,3,157,Belize,Reef,Millennium Coral Reef Mapping Project,mar_reef_base.db,0.725369620238000
Southern Barrier Complex,coastal_subregion,3,157,Belize,Reef,Millennium Coral Reef Mapping Project,mar_reef_base.db,0.017999288289200
Southern Barrier Complex,coastal_subregion,3,157,Belize,Reef,Millennium Coral Reef Mapping Project,mar_reef_base.db,0.061197589860700
Southern Barrier Complex,coastal_subregion,3,157,Belize,Reef,Millennium Coral Reef Mapping Project,mar_reef_base.db,0.275388707816000
