"basin_id,C,80","area,N,24,15","basin_name,C,80"
na_80180,263.653963945000000,Cancun
na_80501,8973.347238320000000,Tizimin - Valladolid
na_80815,17693.367972100000000,Felipe Carillo Puerto - Ranas
na_80990,7686.667294460000000,Upper Corozol Bay
na_81073,15.187440319400000,Potts Creek Lagoon
na_81108,13.972445093900000,Ladyville
na_81390,13968.192610600000000,Rio Hondo
na_81396,876.011557624000000,Sibun River
na_81574,9857.256264910000000,Rio Belice
na_81705,412.490879075000000,Rio Aguan
na_81931,58.319770826600000,Colorado Barra
na_82096,722.314661591000000,Rio La Masica
na_82104,966.528701928000000,Rio Lean
na_82168,2694.859410280000000,Sarstoon
na_82244,6441.904685880000000,"Rio Sico, Tinto o Negro"
na_82323,10738.127803400000000,Rio Aguan - Rio Bonito
na_82379,8655.625986840000000,Izabal Lagoon
na_82498,16154.576519000000000,Rio Motagua
na_82550,26511.803319200000000,Rio Ulua
na_82578,23028.412007500000000,Rio Patuca
